last_name, first_name,player_id,year,player_age,b_ab,b_total_hits,b_home_run,b_bb_percent,batting_avg,on_base_percent,on_base_plus_slg,b_rbi,b_game,r_run,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Urias, Luis,649966,2021,24,490,122,23,11.1,.249,.342,.787,75,150,77,87.9,14.2,34.9,9.3,
Torres, Gleyber,650402,2021,24,459,119,9,9.7,.259,.329,.695,51,127,50,87.1,14.2,37.1,7.8,
Diaz, Yandy,650490,2021,29,465,119,13,12.8,.256,.353,.740,64,134,62,89.9,6.6,28.9,7,
Chapman, Matt,656305,2021,28,529,111,27,12.9,.210,.314,.716,72,151,75,89.7,18.6,32.1,13.7,
Mullins II, Cedric,656775,2021,26,602,175,30,8.7,.291,.359,.877,59,159,91,89.4,14.8,35.7,8.1,
Smith, Pavin,656976,2021,25,498,133,11,7.7,.267,.328,.732,49,145,68,87.2,9,33.6,5.1,
Verdugo, Alex,657077,2021,25,544,157,13,8.4,.289,.351,.777,63,146,88,90,7.7,34.7,7.1,
Moncada, Yoan,660162,2021,26,520,137,14,13.6,.263,.375,.787,61,144,74,90.1,11.3,40,8.2,
Ohtani, Shohei,660271,2021,26,537,138,46,15.0,.257,.372,.965,100,155,103,93.6,16.6,35.4,22.3,
Riley, Austin,663586,2021,24,590,179,33,7.9,.303,.367,.898,107,160,91,90.1,14.2,36.5,13.3,
Mountcastle, Ryan,663624,2021,24,534,136,33,7.0,.255,.309,.796,89,144,77,89.1,16.3,38.9,11.8,
Tucker, Kyle,663656,2021,24,506,149,30,9.3,.294,.358,.915,92,140,83,91.4,17.6,42,11.6,
India, Jonathan,663697,2021,24,532,143,21,11.3,.269,.376,.834,69,150,98,87.6,13.1,33.6,9.6,
Grisham, Trent,663757,2021,24,462,112,15,10.2,.242,.326,.740,62,132,61,88.8,12.3,31,5.2,
Lowe, Nathaniel,663993,2021,25,557,147,18,12.5,.264,.357,.771,72,157,75,90.8,5,31.4,9.5,
Happ, Ian,664023,2021,26,465,105,25,11.6,.226,.321,.756,66,148,63,89.5,9.9,30.8,10.9,
France, Ty,664034,2021,26,571,166,18,7.1,.291,.368,.813,73,152,85,88.5,11,35.9,6.8,
Lowe, Brandon,664040,2021,26,535,132,39,11.1,.247,.340,.863,99,149,97,89.3,16.9,37.2,14,
Fletcher, David,664058,2021,27,626,164,2,4.7,.262,.295,.619,47,157,74,82.3,8.2,30.4,0,
Straw, Myles,664702,2021,26,564,153,4,10.5,.271,.348,.695,48,158,86,87.1,11.9,42.6,1.3,
Walsh, Jared,665120,2021,27,530,147,29,8.2,.277,.340,.850,98,144,70,89.6,7.6,33.6,11.3,
Tatis Jr., Fernando,665487,2021,22,478,135,42,11.4,.282,.364,.975,97,130,99,93.9,13.8,33.1,21.3,
Guerrero Jr., Vladimir,665489,2021,22,604,188,48,12.3,.311,.401,1.002,111,161,123,95.1,9.4,33.7,15.1,
Soto, Juan,665742,2021,22,502,157,29,22.2,.313,.465,.999,95,151,111,93,5.8,29.7,13.3,
Chisholm Jr., Jazz,665862,2021,23,464,115,18,6.7,.248,.302,.726,53,124,70,90.2,9,29,9,
Bichette, Bo,666182,2021,23,640,191,29,5.8,.298,.343,.828,102,159,121,91.4,7.3,33.5,9.9,
Carlson, Dylan,666185,2021,22,542,144,18,9.2,.266,.342,.780,65,149,79,88.2,15.1,40.6,7,
Garcia, Adolis,666969,2021,28,581,141,31,5.1,.243,.286,.741,90,149,77,91,14.7,29.4,11.5,
Gurriel Jr., Lourdes,666971,2021,27,500,138,21,5.9,.276,.318,.784,84,141,62,89.7,10.5,35.8,9.6,
Arozarena, Randy,668227,2021,26,529,145,20,9.3,.274,.356,.815,69,141,94,89.9,7.6,29.7,8.2,
Reynolds, Bryan,668804,2021,26,559,169,24,11.6,.302,.390,.912,90,159,93,89.4,13.4,39.9,10.4,
Rojas, Josh,668942,2021,27,484,128,11,10.5,.264,.338,.749,44,139,69,88.2,8.4,40.7,4.8,
Edman, Tommy,669242,2021,26,641,168,11,5.5,.262,.307,.694,56,159,91,87.5,9.5,31.5,4.2,
Solak, Nick,669256,2021,26,458,111,11,6.7,.242,.313,.676,49,127,57,86.9,7,29.3,6.5,
Hays, Austin,669720,2021,25,488,125,22,5.3,.256,.306,.767,71,131,73,88.8,12.5,32.2,9.1,
Lopez, Nicky,670032,2021,26,497,149,2,8.7,.300,.358,.736,43,151,78,86.8,2.8,27.6,0.7,
Alvarez, Yordan,670541,2021,24,537,149,33,8.4,.277,.346,.877,104,144,92,93.2,14.1,37.2,15.9,
