Names,Players,Year,Month,Day,Age_2008
IS Sodhi,Bowler,1992,October,31,16
Ishan Kishan,Batter,1998,July,18,10
J Arunkumar,Batter,1975,January,18,33
J Botha,All_Rounder,1982,May,2,26
J Suchith,Bowler,1994,January,16,14
J Syed Mohammad,Bowler,1983,June,3,25
J Theron,Bowler,1985,July,24,23
J Yadav,Bowler,1990,January,22,18
JA Morkel,All_Rounder,1981,June,10,27
JA Richardson,All_Rounder,1996,September,20,12
Jalaj S Saxena,Bowler,1986,December,15,22
Jaskaran Singh,Bowler,1989,September,4,19
JC Archer,Bowler,1995,April,1,13
JC Buttler,Batter,1990,September,8,18
JD Ryder,All_Rounder,1984,August,6,24
JD Unadkat,Bowler,1991,October,18,17
JDP Oram,All_Rounder,1978,July,28,30
JDS Neesham,Batter,1990,September,17,18
JE Taylor,Bowler,1984,June,22,24
JEC Franklin,All_Rounder,1980,November,7,28
JH Kallis,All_Rounder,1975,October,16,33
JJ Bumrah,Bowler,1993,December,6,15
JJ Roy,Batter,1990,July,21,18
JJ van der Wath,Bowler,1978,January,10,30
JL Denly,Batter,1986,March,16,22
JM Bairstow,Batter,1989,September,26,19
JM Kemp,All_Rounder,1977,October,2,31
JM Sharma,Batter,1993,October,22,15
JO Holder,All_Rounder,1991,November,5,17
Joginder Sharma,Bowler,1983,October,23,25
JP Behrendorff,Bowler,1990,April,20,18
JP Duminy,Batter,1984,April,14,24
JP Faulkner,All_Rounder,1990,April,29,18
JPR Scantlebury-Searles,Bowler,1986,December,21,22
JR Hazlewood,Bowler,1991,January,8,17
JR Hopes,Bowler,1978,October,24,30
JW Hastings,Bowler,1985,November,4,23
K Goel,Batter,1986,December,24,22
K Gowtham,Bowler,1988,October,20,20
K Kartikeya,Bowler,1997,December,26,11
K Khejroliya,Bowler,1992,March,13,16
K Rabada,Bowler,1995,May,25,13
K Santokie,Bowler,1984,December,20,24
K Upadhyay,Bowler,1986,June,18,22
K Yadav,Bowler,1994,December,14,14
KA Jamieson,Bowler,1994,December,30,14
KA Pollard,All_Rounder,1987,May,12,21
KAJ Roach,Bowler,1988,June,30,20
Kamran Akmal,Batter,1982,January,13,26
Kamran Khan,Bowler,1991,March,10,17
